Acesse o contrato na íntegra,CNPJ da empresa,CNPJ do Consórcio,Cliente,Compartilhado com outros projetos?,Consórcio,Data de assinatura,Empresa,Esfera do cliente,Fim da vigência,Líder do consórcio,N˚ do contrato,Objeto,Participação no consórcio,Serviço Contratado,Valor Estimado por empresa (R$),Valor Global (R$),grupo
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004395.zip,08.696.063/0001-36,38.003.065/0001-63,,Não,"TAUIL E CHEQUER, G5 E BAKER TILLY CONSORCIO",24/01/2020,G5 PARTNERS CONSULTORIA E PARTICIPACOES LTDA.,,23/01/2023,Não,0030/2020,"Contratação de serviços relativos à estruturação e implementação da desestatização da CASA DA MOEDA DO BRASIL (CMB), denominado SERVIÇO B, conforme especificações constantes do Termo de Referência e da proposta apresentada pelo CONTRATADO.","33,00%",Serviço B,"891.000,00","2.700.000,00",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004395.zip,68.809.318/0001-51,38.003.065/0001-63,,Não,"TAUIL E CHEQUER, G5 E BAKER TILLY CONSORCIO",24/01/2020,TAUIL E CHEQUER ADVOGADOS,,23/01/2023,Sim,0030/2020,"Contratação de serviços relativos à estruturação e implementação da desestatização da CASA DA MOEDA DO BRASIL (CMB), denominado SERVIÇO B, conforme especificações constantes do Termo de Referência e da proposta apresentada pelo CONTRATADO.","34,00%",Serviço B,"918.000,00","2.700.000,00",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400006389.zip,02.878.522/0001-16,05.097.487/0001-96,ESTADO DE ALAGOAS,Não,CERES INTELIGENCIA FINANCEIRA LTDA,15/04/2025,IRKO HIRASHIMA AUDITORES INDEPENDENTES LTDA,Estadual,14/04/2028,Não,0126/2025,"Contratação de serviços técnicos essenciais para apoiar o BNDES na estruturação de projeto visando à reestruturação e alienação, minoritária ou de controle, de ações da Companhia de Saneamento de Alagoas – CASAL.","3,23%",Serviço Único,"117.224,76","3.629.249,60",CASAL
,26.907.265/0001-61,,,,,,IRKO HIRASHIMA CONSULTORIA EMPRESARIAL LTDA,,,Não,,,"3,24%",,"117.587,69",,
,03.706.936/0001-20,,,,,,MACHADO MEYER SENDACZ OPICE E ANDRADE ADVOGADOS,,,Não,,,"27,55%",,"999.858,26",,
,34.830.445/0001-10,,,,,,SANEARES - INFRAESTRUTURA E SANEAMENTO LTDA,,,Não,,,"21,90%",,"794.805,66",,
,05.097.487/0001-96,,,,,,CERES INTELIGENCIA FINANCEIRA LTDA,,,Sim,,,"44,08%",,"1.599.773,22",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004539.zip,18.865.283/0001-08,37.413.124/0001-09,MUNICIPIO DE CAXIAS DO SUL,Sim,CONSORCIO HOUER/ M VIANA IP400,04/06/2020,VIANA CASTRO ADVOGADOS,Municipal,03/10/2024,Não,0127/2020,"Contratação de serviços técnicos necessários para a estruturação de projeto(s) de Parceria Público-Privada (PPP) relativo(s) à modernização, eficientização, expansão, operação e manutenção da infraestrutura de rede(s) municipal(is) de ILUMINAÇÃO PÚBLICA que tenha(m) até 400.000 (quatrocentos mil) pontos de luz.","20,00%",Serviço Único,"1.639.959,07","8.199.795,36",CAXIAS DO SUL IP
,22.111.570/0001-91,,,,,,HOUER CONSULTORIA E CONCESSOES LTDA,,,Sim,,,"80,00%",,"6.559.836,29",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004215.zip,07.037.932/0001-58,07.037.932/0001-58,MINISTERIO DA FAZENDA,Sim,CYPRESS ASSOCIATES DO BRASIL CONSULTORIA EMPRESARIAL LTDA.,16/03/2020,CYPRESS ASSOCIATES DO BRASIL CONSULTORIA EMPRESARIAL LTDA.,Federal,11/03/2025,Sim,0078/2020,"Contratação de serviços necessários para a realização de estudos para a desestatização da Companhia Brasileira de Trens Urbanos – CBTU e/ou das pessoas jurídicas resultantes da sua cisão societária, denominados SERVIÇO A.","100,00%",Serviço A,"500.000,00","500.000,00",CBTU BH
